0.147 1
0.265 2
0.762 3
1.032 4
1.225 5
1.435 6
1.648 7
1.698 8
1.964 9
2.090 10
2.414 11
2.701 12
3.409 13
4.037 14
4.099 15
4.839 16
5.042 17
5.324 18
5.977 19
6.170 20
6.173 21
6.179 22
7.258 23
8.382 24
8.775 25
10.715 26
28.457 27
28.462 28
38.450 29
49.042 30
55.217 31
55.270 32
59.185 33
59.307 34
60.069 35
97.232 36
131.660 37
145.761 38
172.757 39
175.069 40
177.424 41
182.303 42
195.602 43
208.004 44
232.459 45
246.944 46
394.814 47
411.376 48
491.387 49
519.068 50
607.693 51
614.297 52
664.253 53
810.990 54
947.491 55
1213.765 56
2990.305 57
2999.456 58
6700.550 59
1000004.464 60
1000006.681 61
1000006.965 62
1000008.414 63
1000008.986 64
1000009.683 65
1000010.341 66
1000024.632 67
1000033.538 68
1000045.435 69
1000046.156 70
